date,text,emotion
"Date:2/1/2022,"hi there","raiva"
"Date:2/1/2022,"hey","neutra"
"Date:2/1/2022,"i am happy today","felicidade"
"Date:2/1/2022,"what should I do?","neutra"
"Date:2/1/2022,"I had lot of homework today. I could not get time to spend with the my friends.","preocupacao"
"Date:21/06/2022","what should I do?","neutro"
"Date:21/06/2022","what should I do?","neutro"
"Date:21/06/2022","what should I do?","neutro"
"Date:21/06/2022","I had a bad day","preocupacao"
"Date:21/06/2022","I am happy today","felicidade"
"Data:25/10/2023","Today I'm very excited because some sutff I bought was delivered ","surpresa"
"Data:25/10/2023","I need to exercise more, I'm feeling rusty  ","preocupacao"
"Data:25/10/2023","I hate when tensorflow doenst work the way it supposed to be","odio"
